dataset,model_name,seed,epochs,trainable_params,train_total_seconds,train_seconds_per_epoch,best_test_acc,min_test_loss,inference_total_seconds,inference_samples,inference_ms_per_1000_samples,timing_condition
fashionmnist,dann_lrf,0,10,10634,59.28070060594473,5.928070060594473,0.8528,0.4204194967746734,0.6672953639645129,10000,66.7295363964513,timing_fashion_full
fashionmnist,naive_branch,0,10,10634,57.66937745700125,5.766937745700124,0.8458,0.435427794265747,0.6716094841714948,10000,67.16094841714948,timing_fashion_full
fashionmnist,mlp_param,0,10,10527,39.8964148259256,3.98964148259256,0.842,0.4531143155097961,0.4841956563759595,10000,48.41956563759595,timing_fashion_full
fashionmnist,vann_same,0,10,468874,64.39242427400313,6.4392424274003135,0.8763,0.3444448905467987,0.584241346991621,10000,58.424134699162096,timing_fashion_full
fashionmnist,dann_lrf,1,10,10634,59.12782952899579,5.912782952899579,0.8501,0.4213291656017303,0.6687293980037794,10000,66.87293980037794,timing_fashion_full
fashionmnist,naive_branch,1,10,10634,57.42209349293262,5.742209349293262,0.8464,0.4315190377235413,0.6741196610033512,10000,67.41196610033512,timing_fashion_full
fashionmnist,mlp_param,1,10,10527,41.315450449008495,4.131545044900849,0.8391,0.4566428594589233,0.5020438839448615,10000,50.20438839448615,timing_fashion_full
fashionmnist,vann_same,1,10,468874,66.39505112799816,6.639505112799816,0.8832,0.331130340218544,0.61426385960076,10000,61.426385960076,timing_fashion_full
fashionmnist,dann_lrf,2,10,10634,59.36916217801627,5.936916217801627,0.8522,0.4206374883651733,0.6856109703658149,10000,68.56109703658149,timing_fashion_full
fashionmnist,naive_branch,2,10,10634,57.58964989497326,5.758964989497327,0.8451,0.4269409540653229,0.6554372671758756,10000,65.54372671758756,timing_fashion_full
fashionmnist,mlp_param,2,10,10527,40.06549252709374,4.006549252709374,0.8418,0.457368684053421,0.508185132406652,10000,50.8185132406652,timing_fashion_full
fashionmnist,vann_same,2,10,468874,65.63980941602495,6.563980941602495,0.8831,0.3272512652635574,0.5964902787934989,10000,59.64902787934989,timing_fashion_full
cifar10,dann_lrf,0,10,10634,52.40659060701728,5.240659060701728,0.4369,1.6004689767837526,0.7034403395839035,10000,70.34403395839036,timing_cifar_full
cifar10,naive_branch,0,10,10634,50.84556111099664,5.084556111099664,0.4277,1.6236258674621582,0.6679071192396805,10000,66.79071192396805,timing_cifar_full
cifar10,mlp_param,0,10,9271,38.32490942697041,3.832490942697041,0.2809,1.9025018842697143,0.5922394865890965,10000,59.223948658909656,timing_cifar_full
cifar10,vann_same,0,10,1640330,79.42003541800659,7.942003541800659,0.4967,1.4174584671020507,0.8322509994031861,10000,83.22509994031861,timing_cifar_full
cifar10,dann_lrf,1,10,10634,53.62617518706247,5.362617518706247,0.4408,1.5857093311309811,0.7099291889928281,10000,70.9929188992828,timing_cifar_full
cifar10,naive_branch,1,10,10634,51.036955634946935,5.103695563494694,0.4322,1.616633427619934,0.6767272992292419,10000,67.67272992292418,timing_cifar_full
cifar10,mlp_param,1,10,9271,38.65450421103742,3.865450421103742,0.2894,1.9112153970718384,0.6034467097837478,10000,60.34467097837478,timing_cifar_full
cifar10,vann_same,1,10,1640330,80.44102339202072,8.044102339202073,0.4935,1.424312635421753,0.8676345352316275,10000,86.76345352316274,timing_cifar_full
cifar10,dann_lrf,2,10,10634,52.37869811197743,5.237869811197743,0.4338,1.596041410446167,0.6930724416160956,10000,69.30724416160955,timing_cifar_full
cifar10,naive_branch,2,10,10634,50.97948409896344,5.097948409896344,0.4247,1.6276196798324585,0.6941982385702431,10000,69.41982385702431,timing_cifar_full
cifar10,mlp_param,2,10,9271,39.76048909698147,3.976048909698148,0.288,1.8936963993072509,0.6602450429927558,10000,66.02450429927558,timing_cifar_full
cifar10,vann_same,2,10,1640330,81.36832241807133,8.136832241807133,0.4907,1.4172743883132934,0.8540189425926655,10000,85.40189425926654,timing_cifar_full
